Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,N/A,Question,Subtable,SubQuestion
0,4,7,7,2,3,Provost,School,Q13c
10,11,48,66,20,19,SIGS,School,Q13c
12,16,60,71,23,24,20-30,Age Group,Q13c
12,24,76,95,53,31,30-35,Age Group,Q13c
13,15,66,72,38,25,35-40,Age Group,Q13c
4,4,23,40,32,13,41+,Age Group,Q13c
0,0,18,23,26,7,Unknown,Age Group,Q13c
1,1,4,7,4,64,No Rating,Tech Rating,Q13c
1,1,4,0,1,0,Not Like Computers,Tech Rating,Q13c
1,5,45,38,19,9,Basic,Tech Rating,Q13c
18,26,115,154,80,17,Intermediate,Tech Rating,Q13c
16,19,53,80,57,8,Advanced,Tech Rating,Q13c
4,7,22,22,11,2,Expert,Tech Rating,Q13c
41,51,212,286,229,99,All Responses,,Q13d
7,6,43,53,40,20,GSBPP,School,Q13d
12,14,48,75,61,24,GSEAS,School,Q13d
11,21,68,95,91,30,GSOIS,School,Q13d
0,3,8,5,3,4,Provost,School,Q13d
11,7,45,58,34,19,SIGS,School,Q13d
10,9,55,63,44,25,20-30,Age Group,Q13d
16,24,65,96,59,31,30-35,Age Group,Q13d
10,14,57,72,55,21,35-40,Age Group,Q13d
5,2,25,34,38,12,41+,Age Group,Q13d
0,2,10,21,33,8,Unknown,Age Group,Q13d
1,1,4,6,5,64,No Rating,Tech Rating,Q13d
1,0,2,1,3,0,Not Like Computers,Tech Rating,Q13d
1,5,44,39,22,6,Basic,Tech Rating,Q13d
22,21,101,131,114,21,Intermediate,Tech Rating,Q13d
12,17,41,89,69,5,Advanced,Tech Rating,Q13d
4,7,20,20,16,1,Expert,Tech Rating,Q13d
37,54,244,285,204,94,All Responses,,Q13e
4,11,42,52,43,17,GSBPP,School,Q13e
11,18,77,70,35,23,GSEAS,School,Q13e
14,14,73,109,76,30,GSOIS,School,Q13e
1,2,9,4,4,3,Provost,School,Q13e
7,9,43,50,46,19,SIGS,School,Q13e
10,17,64,57,38,20,20-30,Age Group,Q13e
13,21,67,95,64,31,30-35,Age Group,Q13e
9,9,69,78,42,22,35-40,Age Group,Q13e
4,4,27,33,36,12,41+,Age Group,Q13e
1,3,17,22,24,39,Unknown,Age Group,Q13e
1,0,4,9,4,63,No Rating,Tech Rating,Q13e
1,2,2,1,1,0,Not Like Computers,Tech Rating,Q13e
0,6,34,47,25,5,Basic,Tech Rating,Q13e
19,19,117,137,105,13,Intermediate,Tech Rating,Q13e
13,19,67,71,54,9,Advanced,Tech Rating,Q13e
3,8,20,20,15,2,Expert,Tech Rating,Q13e
28,39,186,343,237,85,All Responses,,Q13f
4,5,36,60,49,15,GSBPP,School,Q13f
7,11,39,94,60,23,GSEAS,School,Q13f
6,10,66,117,90,27,GSOIS,School,Q13f
0,2,8,7,3,3,Provost,School,Q13f
11,11,37,65,35,15,SIGS,School,Q13f
8,7,41,85,44,21,20-30,Age Group,Q13f
8,20,49,117,69,28,30-35,Age Group,Q13f
7,10,62,74,58,18,35-40,Age Group,Q13f
5,1,21,39,40,10,41+,Age Group,Q13f
0,1,13,28,26,6,Unknown,Age Group,Q13f
1,1,6,5,5,63,No Rating,Tech Rating,Q13f
1,0,3,2,1,0,Not Like Computers,Tech Rating,Q13f
1,4,27,52,30,3,Basic,Tech Rating,Q13f
16,19,89,166,112,8,Intermediate,Tech Rating,Q13f
7,13,46,87,72,8,Advanced,Tech Rating,Q13f
2,2,15,31,17,1,Expert,Tech Rating,Q13f
10,59,46,345,344,114,All Responses,,Q28a
4,10,7,49,74,25,GSBPP,School,Q28a
2,22,16,95,65,34,GSEAS,School,Q28a
2,21,18,130,116,29,GSOIS,School,Q28a
0,0,1,11,8,3,Provost,School,Q28a
2,6,4,60,80,22,SIGS,School,Q28a
4,15,15,75,72,25,20-30,Age Group,Q28a
2,17,13,115,103,41,30-35,Age Group,Q28a
3,13,9,86,90,28,35-40,Age Group,Q28a
1,9,5,39,48,14,41+,Age Group,Q28a
0,5,4,30,30,5,Unknown,Age Group,Q28a
0,0,0,2,2,77,No Rating,Tech Rating,Q28a
0,1,0,2,2,2,Not Like Computers,Tech Rating,Q28a
0,4,7,54,48,4,Basic,Tech Rating,Q28a
5,29,21,159,176,20,Intermediate,Tech Rating,Q28a
3,18,15,102,88,7,Advanced,Tech Rating,Q28a
2,7,3,26,27,3,Expert,Tech Rating,Q28a
13,61,67,317,345,115,All Responses,,Q28b
3,12,10,51,68,25,GSBPP,School,Q28b
5,19,18,82,76,34,GSEAS,School,Q28b
2,19,24,118,123,30,GSOIS,School,Q28b
0,0,2,9,9,3,Provost,School,Q28b
3,11,13,57,68,22,SIGS,School,Q28b
1,12,20,71,77,25,20-30,Age Group,Q28b
5,16,19,100,111,40,30-35,Age Group,Q28b
4,17,14,74,92,28,35-40,Age Group,Q28b
3,12,8,38,40,15,41+,Age Group,Q28b
0,4,6,34,24,6,Unknown,Age Group,Q28b
0,0,0,2,2,77,No Rating,Tech Rating,Q28b
0,0,1,2,2,2,Not Like Computers,Tech Rating,Q28b
3,5,11,48,46,4,Basic,Tech Rating,Q28b
5,33,35,152,165,20,Intermediate,Tech Rating,Q28b
3,18,15,91,98,8,Advanced,Tech Rating,Q28b
2,5,5,22,31,3,Expert,Tech Rating,Q28b
7,68,60,338,329,116,All Responses,,Q28c
3,13,12,53,63,25,GSBPP,School,Q28c
